window,timestamp,symbol,signal,confidence,entry_price,close_price,pnl_pct,result,reason
1,2026-05-02 05:45:02,BTCUSDT,UP,0.62,78160.1,78152.7,-0.009,LOSS,"MACD muestra divergencia positiva con histograma creciente (0.8232). Precio sobre EMA9 y cerca de banda media de Bollinger con RSI neutral en 47.73, sugiriendo continuación alcista de corto plazo."
1,2026-05-02 05:55:02,BTCUSDT,UP,0.62,78173.9,78161.9,-0.015,LOSS,"MACD muestra divergencia positiva con histograma creciente (13.01). Precio por debajo de BB media con RSI neutral en 50, sugiriendo potencial rebote alcista desde zona de soporte."
1,2026-05-02 06:15:01,BTCUSDT,DOWN,0.68,78163.7,78159.9,0.005,WIN,"MACD negativo con histograma en expansión bajista (-14.4). Precio por debajo de EMA9 y EMA21, cerca del soporte de Bollinger inferior. Volumen muy bajo (3.67 vs 272.92) sugiere falta de presión compradora para revertir la tendencia."
1,2026-05-02 12:55:11,SOLUSDT,UP,0.68,83.9,83.86,-0.0477,-0.7885,0.55,LOSS,0.12,"SOLUSDT muestra el mayor momentum con avg_move de 0.0763% y mejor volatilidad (ATR 0.1058%). Precio rompiendo por encima de todas las EMAs (83.9 > EMA9: 83.85 > EMA21: 83.81), MACD histograma positivo en 0.0231 confirmando tendencia alcista, y bb_pos en 79.8% indica fuerza compradora cerca de banda superior. RSI(7) en 59.72 con espacio para subir. Volumen decreciente es el único punto débil pero la estructura técnica es la más clara de todos los activos."
1,2026-05-02 13:05:02,BTCUSDT,UP,0.72,78190.0,78265.9,0.0971,-0.0645,0.55,LOSS,0.08,"BTC muestra el setup más claro: RSI(7) en 60.31 con momentum alcista confirmado, MACD histograma acelerando positivamente (10.50 vs 9.99), precio consolidando por encima de EMA9>EMA21>EMA50 en formación alcista. Posición en BB superior (80.7%) con Stoch K cruzando D al alza (77.29>67.65) confirma continuación alcista inmediata. Aunque volumen decrece, la estructura técnica es la más definida de los 4 activos."
2,2026-05-02 13:10:01,BTCUSDT,DOWN,0.72,78279.5,78274.8,0.006,-0.52,0.55,LOSS,0.15,"BTC presenta señales claras de sobrecompra: RSI(7) en 74.34 extremo, Stoch K en 94.92 (zona de sobreventa), precio en 106.8% de BB (fuera de banda superior). MACD histograma acelerando pero con momentum agotándose. Volumen decreciente (33.89 vs avg 41.75) indica falta de confirmación en el nivel actual. Patrón clásico de reversión desde extremo superior con múltiples indicadores alineados."
3,2026-05-02 13:15:03,ETHUSDT,DOWN,0.73,2306.85,2309.21,-0.1023,-1.0615,0.55,LOSS,0.18,RSI(7) en 77.38 indica sobrecompra extrema. Precio en bb_pos 107.7% (fuera de banda superior) con Stoch K en 100 (máximo) sugiere agotamiento alcista inminente. MACD histograma acelerando pero con señales de extremo alcista. Patrón clásico de reversión bajista desde zona de sobreextensión con volumen decreciente que no confirma la subida.
4,2026-05-02 13:20:04,SOLUSDT,DOWN,0.72,83.92,83.94,-0.0238,-0.669,0.55,LOSS,0.18,"ETH muestra señales claras de sobrecompra: RSI(7) 81.51 en territorio extremo, precio 108.7% fuera de Banda de Bollinger superior (sobreextendido), Stoch K 83.51 comenzando a cruzar bajo D 88.85. Volumen decreciente indica agotamiento del impulso alcista. MACD aún positivo pero RSI(14) cayendo de 72.8 a 71.73 confirma pérdida de momentum. Alta probabilidad de corrección hacia bb_mid (2302.8) en próximos 5 min."
5,2026-05-02 13:25:03,ETHUSDT,DOWN,0.72,2307.45,2306.97,0.0208,-0.446,0.55,LOSS,0.18,"ETH muestra señales claras de reversa: bb_pos 91.9% (sobreextendido en banda superior), RSI(7) 67.49 cerca de zona sobrecompra, MACD histograma decreciente (0.6652 vs 0.6873 prev) indicando pérdida de momentum alcista. Stoch K(66.27) < D(72.96) confirmando debilitamiento. Volumen decreciente sugiere agotamiento de compradores en resistencia de BB superior. Movimiento promedio 0.0799% permite captura de reversión."
1,2026-05-02 13:35:03,XRPUSDT,DOWN,0.73,1.3897,1.3898,-0.0072,-0.586,0.55,LOSS,0.18,"XRP muestra sobrecompra extrema con RSI(7) en 76.83 y posición en Bollinger de 93.8% (muy cerca del límite superior). Stochastic en zona de sobrecompra crítica (K:96.08, D:94.25) indicando agotamiento alcista inminente. A pesar del momentum alcista reciente, el volumen decreciente no confirma continuación, anticipando corrección hacia la media de Bollinger en 1.3867."
2,2026-05-02 13:40:02,XRPUSDT,DOWN,0.73,1.3898,1.3891,0.0504,-0.298,0.55,LOSS,0.18,RSI(7) en 77.41 indica sobrecompra extrema. Precio en posición 89.6% de BB (zona de venta crítica) tocando resistencia superior. Stochastic en 98.04 extremadamente sobrecomprado con K>D señalando agotamiento alcista inminente. Volumen decreciente confirma debilidad. Todos los indicadores convergen en reversión bajista de alta probabilidad.
3,2026-05-02 13:45:01,XRPUSDT,DOWN,0.68,1.389,1.3907,-0.1224,-1.162,0.55,LOSS,0.15,"XRP muestra señales de sobrecompra con RSI(7) en 61.28 y posición en Bollinger Bands al 76.1% (cerca del límite superior). Stochastic K(80.39) está en zona de sobrecompra aunque por debajo de D(86.27), indicando inicio de pérdida de momentum alcista. El volumen decreciente (41.4 vs avg 200K) no confirma la continuación alcista, sugiriendo agotamiento y probable retroceso hacia la banda media en 1.3871."
4,2026-05-02 13:50:04,XRPUSDT,DOWN,0.73,1.3907,1.3907,0.0,-0.55,0.55,LOSS,0.18,"XRP muestra señales claras de sobrecompra: RSI(7) en 73.54 (zona de reversión), Stoch K en 100.0 (máximo extremo) comenzando a formar techo con K>D=92.89, y precio en bb_pos 90.5% (zona de venta crítica). El volumen decreciente (126.1 vs avg 233k) sugiere agotamiento de impulso alcista. MACD histograma plano indica pérdida de momentum. Confluencia de 4 indicadores señalando reversión bajista inminente."
